"R0000100","R0536300","R0536401","R0536402","R1235800","R1482600","S2011600","S2261100","S2987800"
1,2,9,1981,1,4,-4,5,1
2,1,7,1982,1,2,-4,3,1
3,2,9,1983,1,2,4250,4,2
4,2,2,1981,1,2,-4,3,1
5,1,10,1982,1,2,-4,3,2
6,2,1,1982,1,2,-4,3,7
7,1,4,1983,1,2,-5,-5,-5
8,2,6,1981,1,4,-4,5,3
9,1,10,1982,1,4,-4,3,4
10,1,3,1984,1,4,-4,3,6
11,2,6,1982,1,2,-4,3,2
12,1,10,1981,1,2,-4,2,6
13,1,11,1984,1,2,-4,1,1
14,1,7,1980,1,2,-5,-5,-5
15,2,1,1983,1,2,-4,3,1
16,1,2,1982,1,2,-4,3,1
17,2,11,1981,1,2,-5,-5,-5
18,1,2,1982,1,1,-4,1,1
19,1,4,1984,1,1,-4,3,1
20,1,12,1980,1,1,-4,1,3
21,1,8,1982,1,2,-4,2,1
22,1,6,1982,1,2,-4,3,2
23,2,1,1983,1,2,-4,3,5
24,1,6,1984,1,2,-4,1,1
25,2,3,1983,1,2,2500,1,2
26,1,10,1980,1,1,-4,1,1
27,1,5,1981,1,1,-4,1,4
28,2,11,1983,1,1,-3,3,6
29,2,1,1983,1,4,-5,-5,-5
30,1,6,1981,1,4,-5,-5,-5
31,1,7,1982,1,4,-4,3,2
32,2,7,1981,1,4,-4,5,4
33,2,12,1980,1,4,-4,5,2
34,2,12,1984,1,4,-3,3,2
35,1,1,1983,1,4,-3,3,1
36,2,8,1980,1,4,-4,3,1
37,2,11,1980,1,4,-4,3,1
38,2,9,1981,1,4,-4,5,1
39,1,2,1980,1,2,-4,5,2
40,2,5,1984,1,4,-5,-5,-5
41,2,1,1983,1,4,2500,3,1
42,1,8,1983,1,4,8500,3,1
43,2,10,1981,1,1,-4,2,1
44,1,12,1981,1,2,-4,3,7
45,2,2,1984,1,1,1300,3,1
46,1,2,1984,1,1,-4,1,6
47,2,9,1982,1,1,-4,3,2
48,2,7,1983,1,1,7500,3,1
49,2,12,1982,1,1,-4,3,1
50,2,2,1983,1,1,-3,2,2
51,1,6,1980,1,1,-4,3,3
52,1,12,1983,1,1,5500,3,2
53,2,4,1984,1,1,-4,3,2
54,2,12,1984,1,1,-4,2,2
55,2,2,1981,1,2,-4,3,2
56,2,2,1982,1,4,-4,3,2
57,1,12,1982,1,1,-3,3,5
