date,HR,BuzzLight,PeterPan,SevenDwarfs,SpaceMtn,SplashMtn,UnderSea,WinniePooh,BigThunMtn,HauntedMansion,JungleCruise,Pirates
01/01/2015,7,5,20,45,10,5,20,5,,,,
01/01/2015,8,5,30,60,10,5,20,10,5,,5,
01/01/2015,9,15,60,105,30,5,20,25,20,15,20,
01/01/2015,10,50,80,90,70,5,20,40,50,35,50,10
01/01/2015,11,40,95,80,85,30,30,40,60,35,60,45
01/01/2015,12,65,95,100,95,20,40,45,50,45,85,60
01/01/2015,13,70,80,120,105,45,30,45,85,55,70,60
01/01/2015,14,60,120,160,110,45,40,50,60,60,60,60
01/01/2015,15,60,90,140,115,65,60,55,70,50,65,70
01/01/2015,16,95,120,150,110,70,60,40,60,70,75,70
01/01/2015,17,35,90,120,90,70,40,40,70,60,75,60
01/01/2015,18,75,90,100,70,40,40,40,70,65,60,45
01/01/2015,19,65,90,110,90,55,40,40,70,60,35,35
01/01/2015,20,40,90,,95,10,30,35,60,35,40,
01/01/2015,21,30,90,,50,10,20,20,40,25,25,
01/01/2015,22,35,90,120,70,10,20,30,50,30,45,10
01/01/2015,23,25,90,60,,5,20,15,20,10,5,5
01/01/2015,24,15,40,30,90,10,20,20,20,15,15,15
01/01/2015,25,5,10,,10,5,20,5,,,,
01/02/2015,7,,5,45,,5,5,5,,10,,
01/02/2015,8,5,5,45,10,5,5,5,5,10,5,5
01/02/2015,9,10,,80,50,5,20,45,10,10,5,5
01/02/2015,10,35,75,90,65,10,20,45,50,20,30,30
01/02/2015,11,45,90,110,80,15,20,45,60,35,60,30
01/02/2015,12,60,130,120,95,35,40,55,40,45,70,45
01/02/2015,13,50,150,130,95,80,40,45,65,60,65,50
01/02/2015,14,65,150,170,115,105,50,65,95,60,75,45
01/02/2015,15,70,130,180,95,105,50,50,60,65,65,45
01/02/2015,16,45,120,180,105,65,30,45,90,45,75,45
01/02/2015,17,50,120,110,105,85,50,60,90,50,75,50
01/02/2015,18,65,120,100,105,70,40,50,50,65,80,45
01/02/2015,19,60,95,110,95,60,30,40,95,50,55,40
01/02/2015,20,55,95,130,85,45,60,40,45,55,35,50
01/02/2015,21,35,60,110,60,10,20,25,40,15,10,15
01/02/2015,22,35,50,60,,25,20,35,55,30,45,25
01/02/2015,23,30,50,80,,10,20,25,55,20,25,10
01/02/2015,24,20,40,60,40,10,10,10,40,10,15,15
01/02/2015,25,5,10,40,20,5,10,5,10,10,5,5
01/03/2015,8,,,45,,,5,5,,10,,
01/03/2015,9,5,20,45,10,5,5,5,10,10,5,5
01/03/2015,10,20,60,70,35,10,20,25,20,15,20,10
01/03/2015,11,50,70,70,50,60,30,35,40,20,25,35
01/03/2015,12,55,90,120,75,20,20,45,40,40,60,35
01/03/2015,13,50,80,110,70,55,40,40,65,35,30,45
01/03/2015,14,50,80,120,85,80,30,40,65,45,40,50
01/03/2015,15,35,90,100,80,75,50,50,60,55,60,50
01/03/2015,16,70,90,110,80,70,40,50,75,40,65,45
01/03/2015,17,70,100,140,80,75,50,40,40,40,45,35
01/03/2015,18,35,150,140,70,65,30,40,60,30,40,45
01/03/2015,19,,90,,25,60,50,35,30,45,35,40
01/03/2015,20,40,70,80,90,40,40,30,20,45,20,40
01/03/2015,21,25,80,110,50,15,10,25,90,30,20,10
