"R0000100","R0173600","R0214700","R0214800","T3200700","T3212900","T3976200","T4045802"
1,5,3,2,-5,-5,-5,-5
2,5,3,2,7,13,0,287000
3,5,3,2,11,10,1,358000
4,5,3,2,-5,-5,-5,-5
5,1,3,1,-5,-5,-5,-5
6,1,3,1,10,16,1,271000
7,1,3,1,-5,-5,-5,-5
8,6,3,2,3,14,1,40240
9,1,3,1,7,14,1,339000
10,6,3,2,-5,-5,-5,-5
11,1,3,1,-5,-5,-5,-5
12,5,3,2,-5,-5,-5,-5
13,1,3,1,-5,-5,-5,-5
14,5,3,2,7,18,1,477500
15,1,3,1,7,16,1,1979788
16,5,3,2,7,12,1,114135
17,1,3,1,1,12,0,-26900
18,1,3,1,1,13,1,463000
19,5,3,2,-5,-5,-5,-5
20,5,3,2,7,16,1,734000
21,5,3,2,11,16,1,3749941
22,5,3,2,9,16,1,275700
23,1,3,1,-5,-5,-5,-5
24,1,3,1,-5,-5,-5,-5
25,5,3,2,10,14,1,1983900
26,1,3,1,3,16,1,706000
27,5,3,2,9,16,1,3749941
28,5,3,2,-5,-5,-5,-5
29,5,3,2,9,12,1,1530895
30,5,3,2,9,13,1,642683
31,4,1,1,11,12,0,1100
32,8,1,2,-5,-5,-5,-5
33,4,1,1,7,12,1,107
34,1,3,1,1,12,1,10000
35,5,3,2,-5,-5,-5,-5
36,1,3,1,7,12,1,169000
37,5,3,2,7,12,0,894000
38,5,3,2,7,12,1,306000
39,1,3,1,7,12,1,-3
40,2,3,1,7,14,0,-3
41,2,3,1,11,16,1,782300
42,1,3,1,7,12,1,181000
43,6,3,2,1,12,1,-800
44,5,3,2,11,12,0,-3
45,1,3,1,-5,-5,-5,-5
46,5,3,2,-5,-5,-5,-5
47,1,3,1,1,12,1,261000
48,2,3,1,-5,-5,-5,-5
49,5,3,2,7,14,1,467000
50,5,3,2,1,12,1,100200
51,1,3,1,-5,-5,-5,-5
52,1,3,1,7,14,1,1282000
53,4,1,1,9,8,1,150
54,1,3,1,-5,-5,-5,-5
55,1,3,1,-5,-5,-5,-5
56,5,3,2,-5,-5,-5,-5
57,5,3,2,7,12,1,205100
58,5,3,2,3,17,1,704500
59,1,3,1,3,12,0,-3
60,1,3,1,3,12,1,1046500
61,5,3,2,2,14,1,452300
62,5,3,2,7,14,1,132700
63,1,3,1,7,16,1,892000
64,1,3,1,-5,-5,-5,-5
65,5,3,2,-5,-5,-5,-5
66,1,3,1,11,14,0,0
67,1,3,1,1,18,1,3749941
68,5,3,2,1,16,1,3749941
69,1,3,1,10,20,1,754000
70,1,3,1,7,18,1,-3
71,1,3,1,-5,-5,-5,-5
72,5,3,2,3,16,1,465000
73,1,3,1,-5,-5,-5,-5
74,5,3,2,-5,-5,-5,-5
75,5,3,2,1,16,1,557300
76,1,3,1,10,14,0,17000
77,5,3,2,10,17,1,3749941
78,5,3,2,-5,-5,-5,-5
79,1,3,1,-5,-5,-5,-5
80,1,3,1,12,19,1,183000
81,1,3,1,-5,-5,-5,-5
82,3,2,1,-5,-5,-5,-5
83,3,2,1,2,10,0,0
84,3,2,1,2,11,0,0
85,3,2,1,10,10,-4,0
86,7,2,2,2,11,1,400
87,3,2,1,7,14,1,-3
88,3,2,1,10,16,1,-3
89,7,2,2,-5,-5,-5,-5
90,1,3,1,7,16,1,793500
91,5,3,2,11,16,0,282300
92,5,3,2,7,12,1,110500
93,1,3,1,7,12,1,113000
94,1,3,1,11,11,1,-3
95,5,3,2,7,12,1,29100
96,6,3,2,7,12,0,224700
97,5,3,2,11,14,1,247000
98,6,3,2,7,13,0,5400
99,5,3,2,7,14,0,195200
100,5,3,2,11,13,1,74575
101,1,3,1,-5,-5,-5,-5
102,5,3,2,7,16,1,-3
103,1,3,1,7,16,1,16000
104,5,3,2,-5,-5,-5,-5
105,6,3,2,10,12,1,1853645
106,1,3,1,5,16,1,1182000
107,1,3,1,1,16,1,119000
108,1,3,1,1,20,1,163000
109,5,3,2,-5,-5,-5,-5
110,1,3,1,7,13,1,302000
111,5,3,2,7,12,1,514000
112,5,3,2,7,12,1,204000
113,1,3,1,-5,-5,-5,-5
114,1,3,1,-5,-5,-5,-5
115,5,3,2,-5,-5,-5,-5
116,5,3,2,-5,-5,-5,-5
117,1,3,1,10,15,1,-3
118,5,3,2,-5,-5,-5,-5
119,1,3,1,11,12,1,-3
120,1,3,1,7,16,0,256000
121,5,3,2,7,16,0,312900
122,1,3,1,4,12,1,3749941
123,1,3,1,-5,-5,-5,-5
124,5,3,2,7,14,0,-33050
125,1,3,1,-5,-5,-5,-5
126,1,3,1,7,14,0,-3
127,1,3,1,-5,-5,-5,-5
128,5,3,2,7,13,1,-3
129,1,3,1,7,16,1,165000
130,6,3,2,-5,-5,-5,-5
131,6,3,2,-5,-5,-5,-5
132,6,3,2,-5,-5,-5,-5
133,5,3,2,7,14,0,298000
134,1,3,1,-5,-5,-5,-5
135,1,3,1,7,13,1,615500
136,5,3,2,3,12,0,-3
137,5,3,2,7,16,1,523500
138,5,3,2,7,16,1,-3
139,1,3,1,7,15,1,35000
140,5,3,2,7,17,1,-3
